Number of Matrix	Parallel TSP cost	Parallel cycle
29	1804	0 5 24 2 8 64 17 86 85 54 73 22 48 69 72 43 66 95 47 31 23 14 18 97 42 13 3 28 9 19 40 77 63 37 89 68 53 45 96 51 12 56 84 36 98 11 82 92 62 65 10 81 59 1 34 90 71 80 25 70 38 16 32 61 30 35 21 39 52 87 79 75 91 20 74 33 27 88 57 4 58 46 29 49 55 67 6 7 93 15 26 83 50 94 60 76 44 41 78 
30	1556	0 25 34 78 79 2 7 52 22 80 9 96 89 49 37 56 40 60 66 20 23 41 84 81 86 71 76 13 54 10 61 46 50 74 12 14 69 53 62 4 11 65 1 95 47 29 43 91 93 21 31 48 15 32 18 68 82 33 90 94 73 38 24 42 87 64 72 63 3 19 57 36 83 67 39 98 35 8 44 58 77 26 97 51 16 5 75 45 70 59 27 88 6 30 55 17 28 85 92 
31	1674	0 38 88 71 45 74 9 37 47 27 52 93 8 62 44 68 34 77 91 3 53 4 72 1 76 17 98 92 21 5 26 56 18 36 42 59 19 95 24 13 63 33 51 48 81 46 15 78 6 86 43 67 66 97 20 90 7 50 89 29 28 32 2 16 14 61 10 85 96 87 73 65 41 22 31 60 12 70 49 55 64 54 25 58 79 82 57 80 40 94 39 83 84 69 23 75 35 11 30 
32	1809	0 80 97 88 16 94 13 40 20 43 23 37 7 59 44 92 86 11 79 81 65 63 69 89 26 68 19 46 35 84 12 93 61 29 24 42 66 21 67 72 1 17 57 31 74 9 6 71 90 95 62 77 70 54 82 47 55 87 36 73 4 8 75 15 18 34 14 76 50 41 25 78 98 56 2 22 64 96 10 33 58 91 5 32 39 51 49 52 38 45 28 48 85 83 30 53 60 3 27 
33	1630	0 26 90 81 25 4 79 43 86 68 98 70 46 80 40 8 65 11 50 75 35 36 76 72 57 14 32 28 44 21 47 1 39 22 67 17 53 87 63 84 13 91 83 27 20 88 48 96 73 51 37 61 74 97 78 60 45 19 64 69 71 52 82 92 93 7 9 10 62 33 89 49 2 85 38 12 34 31 30 5 15 24 42 29 18 6 58 16 56 95 55 77 3 66 94 54 41 59 23 
34	1700	0 32 12 88 60 30 53 51 5 54 63 35 87 10 31 73 8 67 59 28 1 97 96 41 76 21 45 17 90 15 86 83 26 89 57 47 2 6 70 81 11 80 25 72 16 74 24 13 78 14 4 27 69 66 65 44 94 40 9 38 77 64 48 93 3 43 49 68 18 52 92 50 91 85 62 75 33 71 56 82 58 84 22 79 29 61 7 39 55 34 46 42 19 98 36 23 20 37 95 
35	1676	0 40 53 64 3 71 26 92 69 94 14 13 75 34 22 24 95 35 81 70 20 67 29 50 36 76 74 44 61 90 49 51 57 5 17 30 8 79 1 82 89 85 15 19 72 80 96 28 16 7 47 68 77 83 23 37 9 6 63 54 31 97 62 86 88 45 42 4 56 43 55 18 65 78 25 33 41 59 39 32 93 87 91 52 10 48 21 84 11 27 2 38 66 12 60 73 46 58 98 
36	1772	1 3 8 16 15 4 62 0 43 42 20 6 78 40 28 85 82 57 88 79 76 45 96 65 21 59 75 23 29 47 37 61 17 19 22 14 67 58 10 84 39 72 34 51 64 92 98 18 48 50 53 74 25 31 86 56 87 94 41 55 52 63 73 80 30 46 27 70 49 2 90 36 5 9 66 77 91 71 26 93 11 32 44 24 7 12 69 97 33 83 95 89 38 13 35 54 68 60 81 
37	1724	2 19 5 73 68 60 72 1 0 55 91 49 39 75 95 36 70 87 59 83 14 4 34 52 10 66 13 15 17 31 7 16 46 77 22 42 86 92 51 29 81 24 78 45 57 37 23 9 30 44 74 64 28 61 20 53 80 27 93 56 84 35 79 65 26 82 71 6 47 67 21 38 18 8 11 76 85 25 41 96 88 32 58 12 97 3 89 98 69 43 63 90 48 62 50 33 94 54 40 
38	1569	1 70 47 45 65 53 33 72 75 11 98 92 34 28 62 88 78 6 50 81 7 5 24 86 22 66 67 18 25 17 85 94 30 59 80 83 60 96 56 68 84 13 10 90 76 73 43 97 12 21 95 0 77 20 46 31 64 55 36 3 54 16 79 14 41 71 40 19 49 26 38 15 89 35 4 42 2 27 61 57 58 82 44 9 52 39 29 51 87 93 32 63 48 91 69 37 74 23 8 
